Restaurant Name,Original food Item
Coffee Time,Garden Vegetable Sandwich
HoSan,Roasted Seaweed Snack
Weight Watchers,Muffins
Natural Sea,"Albacore Tuna, Solid White"
World of Beer,Caesar Salad with Grilled Flat Iron Steak
Chick-fil-A,"Honey Mustard Sauce, 8 oz (Catering)"
Tai Pei,Pork Potstickers
Port of Subs,Top Deck Meat & Cheese Champion - 20-25 Guests *
YoCream,Plain
Blimpie,"Sprite Zero, 28 oz"
TacoTime,"Limeade, Cherry Habanero - 16 oz"
America's Taco Shop,Jack Cheese
Thundercloud Subs,"Tuna Sub, Large"
Crazy Bowls & Wraps,Mediterranean Lettuce Wrap
Rice King,Jasmine Rice
Frullati Cafe & Bakery,"Chicken Pecan Salad Sandwich, White Roll"
Veggie Patch,Meatless Burgers
Silver Mine Subs,Pepper Jack Cheese for Double Large Sub
Russo's New York Pizzeria,"Pomodoro Pizza 16 inch, Slice"
Triple O's,Breakfast Club with Bacon
Chick-fil-A,Cobb Salad with Nuggets
Familia,"Swiss Muesli, Original Recipe"
Furr's Family Dining,Country-Fried Potatoes
Protein House,"Snickers Iced Coffee, 24 oz with Flavor Choice Sugar Free Vanilla Flavor"
Baskin Robbins,"Pink Bubblegum Ice Cream, 2.5 oz Scoop"
Furr's Family Dining,Jalapeno Cornbread Mini Loaf
Cook's,Skim Fat-Free Milk
De Dutch Pannekoek House,Clubhouse Turkey Bacon Wrap
Green Beans Coffee,"Cafe Mocha, 24 oz"
Charley's Philly Steaks,"Philly Cheesesteak, Regular"
Bruster's Real Ice Cream,"Fudge Ripple Ice Cream on a Sugar Cone, Large"
Happy Joe's,"Taco Joe Pan Crust Pizza, 12 inch"
Tabatchnick,Chicken Broth with Noodles & Vegetables
Thundercloud Subs,"Nada Chicken Low-Fat Sub, Small"
Kenny's,"Juicy Twists, Strawberry"
241 Pizza,"Bacon Cheeseburger Pizza, Medium Slice"
Sail Brand Products,Peeled and Deveined Tail-Off Raw Shrimp
Taco Bueno,Black Bean Burrito
Northern Chef,Clam Meat
Chick-fil-A,"Chick-fil-A Diet Lemonade, Small"
Charley's Philly Steaks,Plain Classic Chicken
Charley's Philly Steaks,"Chicken Buffalo Cheesesteak, Small"
Furr's Family Dining,Golden-Fried Alaskan White Fish
Magic Wok,Steamed White Rice (6 oz)
Bimbo,"Bread, Soft White, Small"
Heckers,Whole Wheat Flour
Nick-N-Willy's Pizza,Margherita Calzone TS
Lion's Choice,Broccoli Soup
Burrito Boyz,"Small Whole Wheat Burrito, Chicken"
Coffee Time,Chicken Samosa
Duchess Shoppe,Hershey's Triple Chocolate Cookie
Port of Subs,Classic Sub #18 - 8 inch Medium
DiGiorno,"Stromboli, Three Meat"
Drew's,Thai Coconut Sesame Dressing
Pepperjax Grill,Junior Jax Pork Rice Bowl
Roy Rogers Restaurants,"Chicken, 12 Piece & Biscuits"
A&W (Canada),"Apple Juice, 12 oz"
Harris Teeter,"Cajun Style, Trail Mix"
Taco Bueno,Wholotta Platter Beef Crispy Beef Taco
Wild Oats,"Lentils, Organic"
Vocelli Pizza,Large Thin Crust Garlic Spinaci Pizza White Slice
Just Fresh,"Pasta, Cajun Chicken"
Mike's Restaurants,South-West Dip
Happy Joe's,"Combo Plus Pan Crust Pizza, 15 inch"
Ameci Pizza & Pasta,Large Ameci Deluxe Pizza
Baskin Robbins,"Vanilla Soft Serve, Regular Size"
Safeway Select,"Macadamia Nuts, Dry Roasted With Sea Salt"
Crazy Bowls & Wraps,Teriyaki Wrap
Purebread Deli,Hot Cherry Peppers
Cooks,"California Champagne, Brut"
Jack Astor's Bar & Grill,"Add-On, Buddha Salad"
Uncle Ben's,"Ready Whole Grain Medley Pouch, Chicken Medley"
Duchess Shoppe,20 oz Cherry Coca Cola
Lion's Choice,Sour Cream
Pampa,"Spaghetti Sauce, Traditional"
Fresh Gourmet,Parmesan Caesar Croutons
Planet Smoothie,"Planet Pro Veg (32G) Strawberry & Acai Smoothie, 32 oz"
Firehouse Subs,Jamaican Jerk Turkey - Large
A&W (Canada),Bacon & Egger on Sesame Seed Bun
Crazy Bowls & Wraps,Tossed Kale & Quinoa Salad
Magic Wok,"Fried Rice, Beef"
Crazy Bowls & Wraps,Caesar Lettuce Wrap
Merci,European Chocolates Assortment
Kirkwood,Chicken Breast Nuggets
De Dutch Pannekoek House,Van Gogh Salad
Mcmenamins,Maria's Masterpiece with Herb-Roasted Turkey
Boneheads,Lemon Herb Wings
Good Times Burgers & Frozen Custard,"Chocolate Peanut Butter Crunch Spoonbender, Medium"
Roy Rogers Restaurants,Biscuit
Mimi's Cafe,"Sandwiches, W est Coast Reuben with Side of French Fries"
Tabatchnick,"Chicken Broth, with Noodles & Dumplings"
Cafe Zupas,"Sandwiches, Steak & Cheese, White"
Wild Oats Marketplace,Organic Diced Butternut Squash
American Flatbread Grocery,"Thin & Crispy Pizza, Sliced Tomato & 5 Cheese"
YoCream,Very Strawberry
Fratelli Mantova,"Pasta, Organic Italian, Spaghetti,  No. 5"
Rayley's,"Meatloaf, Homestyle"
Veggie Patch,Chick'n Nuggets
Triple O's,"Original Veggie Burger, without Sauce"
TacoTime,"Limeade, Mango Pineapple - 21 oz (Select Stores Only)"
Northern Chef,Snow Crab with Garlic Butter
Whitey's Ice Cream Grocery,"Ice Cream, Strawberry"
Silver Mine Subs,Philly Cheesesteak for Small Sub
Wild Oats Marketplace,2% Milk Fat Reduced Fat Milk Ultra-Pasteurized
De Dutch Pannekoek House,"Omelette, Shrimp with Fruit"
Wild Oats Marketplace Organic,Margherita Pizza
